month,ta_max,ta_min,rn_day,gdd,heat_stress,dry_day
202201,13.1,-12.1,0.0,1.2999999999999998,0.0,31
202202,15.9,-12.7,0.0,0.10000000000000053,0.0,28
202203,23.1,-6.0,41.0,104.75,0.0,25
202204,30.2,-1.0,35.0,282.34999999999997,0.1999999999999993,25
202205,28.5,3.0,10.0,382.55,0.0,27
202206,31.9,14.3,112.0,538.05,3.1999999999999993,22
202207,35.4,20.8,96.0,677.55,28.499999999999996,21
202208,32.6,16.2,344.5,655.5,10.3,21
202209,32.3,12.4,87.5,523.25,6.199999999999996,26
202210,29.6,2.1,54.0,292.95,0.0,26
202211,24.2,-2.3,64.0,165.75,0.0,26
202212,10.5,-13.1,27.0,3.299999999999999,0.0,28
202301,15.0,-15.1,23.5,11.05,0.0,28
202302,11.7,-6.4,5.0,1.8999999999999995,0.0,25
202303,21.7,-5.5,26.0,98.55,0.0,28
202304,25.2,1.3,43.0,231.0,0.0,23
202305,27.8,6.6,252.5,411.45,0.0,24
202306,32.1,16.2,234.5,534.15,3.5000000000000036,26
202307,33.4,20.0,698.0,657.3,20.299999999999994,15
202308,35.3,19.1,132.0,692.55,42.0,22
202309,32.2,14.9,245.0,560.6,6.900000000000002,21
202310,24.3,5.7,12.0,337.90000000000003,0.0,27
202311,24.9,-7.4,92.0,118.4,0.0,22
202312,17.8,-14.4,106.5,26.099999999999998,0.0,26
202401,10.4,-14.0,16.0,0.5499999999999998,0.0,27
202402,15.6,-6.5,40.5,12.95,0.0,21
202403,19.0,-9.3,55.5,49.35,0.0,25
202404,26.0,3.7,57.0,276.75,0.0,21
202405,27.4,5.6,140.0,354.5,0.0,21
202406,33.5,10.7,122.0,495.75,6.199999999999999,23
202407,32.1,19.5,584.0,612.95,5.300000000000004,14
202408,33.1,19.5,34.5,665.05,34.7,27
202409,33.0,11.4,208.5,552.2,14.900000000000002,24
202410,22.9,5.9,93.0,285.05,0.0,21
202411,21.0,-3.3,33.5,115.55,0.0,25
202412,14.2,-9.6,1.5,5.6,0.0,30
